date,frac_underreported_1,frac_underreported_2,frac_underreported_3,frac_underreported_4,frac_underreported_5,frac_underreported_se_1,frac_underreported_se_2,frac_underreported_se_3,frac_underreported_se_4,frac_underreported_se_5
2020-02-01,1,1,1,1,1,0,0,0,0,0
2020-02-02,1,1,1,1,1,0,0,0,0,0
2020-02-03,1,1,1,1,1,0,0,0,0,0
2020-02-04,1,1,1,1,1,0,0,0,0,0
2020-02-05,1,1,1,1,1,0,0,0,0,0
2020-02-06,1,1,1,1,1,0,0,0,0,0
2020-02-07,1,1,1,1,1,0,0,0,0,0
2020-02-08,1,1,1,1,1,0,0,0,0,0
2020-02-09,1,1,1,1,1,0,0,0,0,0
2020-02-10,1,1,1,1,1,0,0,0,0,0
2020-02-11,1,1,1,1,1,0,0,0,0,0
2020-02-12,1,1,1,1,1,0,0,0,0,0
2020-02-13,1,1,1,1,1,0,0,0,0,0
2020-02-14,1,1,1,1,1,0,0,0,0,0
2020-02-15,1,1,1,1,1,0,0,0,0,0
2020-02-16,1,1,1,1,1,0,0,0,0,0
2020-02-17,1,1,1,1,1,0,0,0,0,0
2020-02-18,1,1,1,1,1,0,0,0,0,0
2020-02-19,1,1,1,1,1,0,0,0,0,0
2020-02-20,1,1,1,1,1,0,0,0,0,0
2020-02-21,1,1,1,1,1,0,0,0,0,0
2020-02-22,1,1,1,1,1,0,0,0,0,0
2020-02-23,1,1,1,1,1,0,0,0,0,0
2020-02-24,1,1,1,1,1,0,0,0,0,0
2020-02-25,1,1,1,1,1,0,0,0,0,0
2020-02-26,1,1,1,1,1,0,0,0,0,0
2020-02-27,1,1,1,1,1,0,0,0,0,0
2020-02-28,1,1,1,1,1,0,0,0,0,0
2020-02-29,1,1,1,1,1,0,0,0,0,0
2020-03-01,0.997010463,0.997010463,0.997010463,0.997010463,0.997010463,0.003031927,0.003031927,0.003031927,0.003031927,0.003031927
2020-03-02,0.994020927,0.994020927,0.994020927,0.994020927,0.994020927,0.006063855,0.006063855,0.006063855,0.006063855,0.006063855
2020-03-03,0.99103139,0.99103139,0.99103139,0.99103139,0.99103139,0.009095782,0.009095782,0.009095782,0.009095782,0.009095782
2020-03-04,0.988041854,0.988041854,0.988041854,0.988041854,0.988041854,0.01212771,0.01212771,0.01212771,0.01212771,0.01212771
2020-03-05,0.985052317,0.985052317,0.985052317,0.985052317,0.985052317,0.015159637,0.015159637,0.015159637,0.015159637,0.015159637
2020-03-06,0.98206278,0.98206278,0.98206278,0.98206278,0.98206278,0.018191565,0.018191565,0.018191565,0.018191565,0.018191565
2020-03-07,0.979073244,0.979073244,0.979073244,0.979073244,0.979073244,0.021223492,0.021223492,0.021223492,0.021223492,0.021223492
2020-03-08,0.971419206,0.971419206,0.971419206,0.971419206,0.971419206,0.023058017,0.023058017,0.023058017,0.023058017,0.023058017
2020-03-09,0.963765169,0.963765169,0.963765169,0.963765169,0.963765169,0.024892541,0.024892541,0.024892541,0.024892541,0.024892541
