time,frac_underreported_1,frac_underreported_2,frac_underreported_3,frac_underreported_4,frac_underreported_5,frac_underreported_se_1,frac_underreported_se_2,frac_underreported_se_3,frac_underreported_se_4,frac_underreported_se_5
1,1,1,1,1,1,0.036929326,0.030969206,0.010557162,0.012488847,0.010557162
2,1,1,1,1,1,0.035811252,0.030031582,0.010237533,0.012110735,0.010237533
3,1,1,1,1,1,0.034869337,0.029241685,0.009968264,0.011792196,0.009968264
4,1,1,1,1,1,0.034094802,0.028592154,0.009746844,0.011530262,0.009746844
5,1,1,1,1,1,0.033477587,0.028074553,0.009570397,0.01132153,0.009570397
6,1,1,1,1,1,0.033006478,0.027679477,0.009435719,0.011162209,0.009435719
7,1,1,1,1,1,0.032669325,0.027396738,0.009339336,0.01104819,0.009339336
8,1,1,1,1,1,0.032453311,0.027215587,0.009277583,0.010975138,0.009277583
9,1,1,1,1,1,0.032345267,0.027124981,0.009246696,0.010938599,0.009246696
10,1,1,1,1,1,0.032331973,0.027113833,0.009242895,0.010934104,0.009242895
11,1,1,1,1,1,0.032400451,0.027171259,0.009262472,0.010957262,0.009262472
12,1,1,1,1,1,0.032538206,0.02728678,0.009301852,0.011003848,0.009301852
13,1,1,1,1,1,0.032733419,0.027450488,0.009357659,0.011069866,0.009357659
14,1,1,1,1,1,0.032975095,0.027653159,0.009426748,0.011151596,0.009426748
15,1,1,1,1,1,0.033253153,0.02788634,0.009506237,0.01124563,0.009506237
16,1,1,1,1,1,0.033534437,0.028122228,0.009586649,0.011340756,0.009586649
17,1,1,1,1,1,0.033791071,0.028337442,0.009660015,0.011427545,0.009660015
18,1,1,1,1,1,0.034024443,0.02853315,0.00972673,0.011506467,0.00972673
19,1,1,1,1,1,0.034238423,0.028712595,0.009787901,0.011578832,0.009787901
20,1,1,1,1,1,0.034437981,0.028879946,0.00984495,0.011646318,0.00984495
21,1,1,1,1,1,0.034628076,0.029039361,0.009899293,0.011710605,0.009899293
22,1,1,1,1,1,0.034812775,0.029194252,0.009952094,0.011773067,0.009952094
23,1,1,1,1,1,0.034994602,0.029346733,0.010004074,0.011834558,0.010004074
24,1,1,1,1,1,0.035174089,0.029497252,0.010055385,0.011895257,0.010055385
25,1,1,1,1,1,0.035349551,0.029644395,0.010105545,0.011954595,0.010105545
26,1,1,1,1,1,0.035517051,0.029784862,0.010153429,0.012011241,0.010153429
27,1,1,1,1,1,0.035670567,0.029913602,0.010197315,0.012063157,0.010197315
28,1,1,1,1,1,0.035802328,0.030024098,0.010234982,0.012107717,0.010234982
29,1,1,1,1,1,0.035903317,0.030108788,0.010263852,0.012141869,0.010263852
30,1,1,1,1,1,0.03596393,0.030159618,0.01028118,0.012162367,0.01028118
31,1,1,1,1,1,0.035929828,0.03013102,0.010271431,0.012150835,0.010271431
32,1,1,1,1,1,0.035786587,0.030010897,0.010230482,0.012102393,0.010230482
33,1,1,1,1,1,0.03558966,0.029845752,0.010174186,0.012035796,0.010174186
34,1,1,1,1,1,0.035395799,0.029683179,0.010118766,0.011970236,0.010118766
35,1,1,1,1,1,0.035256488,0.029566352,0.01007894,0.011923123,0.01007894
36,1,1,1,1,1,0.035211929,0.029528985,0.010066202,0.011908054,0.010066202
37,0.995272206,1,1,1,1,0.035286089,0.029591176,0.010087403,0.011933134,0.010087403
38,0.988011565,1,1,1,1,0.035483515,0.029756739,0.010143842,0.0119999,0.010143842
39,0.980295359,1,1,1,1,0.035788508,0.030012508,0.010231031,0.012103043,0.010231031
40,0.972090054,1,1,1,1,0.036166736,0.030329693,0.010339157,0.012230953,0.010339157
41,0.963362113,0.998467709,1,1,1,0.036568844,0.030666904,0.01045411,0.012366939,0.01045411
