time,gamma_h
47,0.110351208
48,0.11246951
49,0.114620961
50,0.116803928
51,0.119016505
52,0.121256498
53,0.123521405
54,0.125808396
55,0.128114295
56,0.130435561
57,0.13276827
58,0.135108108
59,0.137450348
60,0.13978985
61,0.142121051
62,0.144437964
63,0.146734182
64,0.149002887
65,0.151236865
66,0.153428529
67,0.155569947
68,0.157652879
69,0.159668823
70,0.161609069
71,0.163464758
72,0.165226957
73,0.166886732
74,0.168435232
75,0.169863785
76,0.171110198
77,0.172129453
78,0.172941096
79,0.173567278
80,0.174032239
81,0.174361813
82,0.17458298
83,0.174723489
84,0.174811557
85,0.174875652
86,0.174944374
87,0.175046417
88,0.175210637
89,0.175466205
90,0.175832475
91,0.176296958
92,0.176841388
93,0.177447276
94,0.178095757
95,0.178767473
96,0.179442494
97,0.180244595
98,0.181271063
99,0.182460835
100,0.183750524
101,0.185073429
102,0.186358987
103,0.187532727
104,0.188661904
105,0.189853335
106,0.191088562
107,0.192348166
108,0.193611681
109,0.194857547
110,0.196063107
111,0.197419311
112,0.199058408
113,0.200864698
114,0.202714782
115,0.204476071
116,0.206006903
117,0.207158565
118,0.208079344
119,0.208996235
120,0.209874692
121,0.210679046
122,0.211372679
123,0.211918336
124,0.212278566
125,0.212434086
126,0.212414625
127,0.212257063
128,0.211998709
129,0.211676881
130,0.211328624
131,0.210990548
132,0.210620368
133,0.210156577
134,0.209606699
135,0.208978346
136,0.208279157
137,0.207516746
138,0.206698659
139,0.205825829
140,0.204895285
141,0.203908707
142,0.202867853
143,0.201774542
144,0.200630657
145,0.199438131
146,0.199438131
147,0.199438131
148,0.199438131
149,0.199438131
150,0.199438131
151,0.199438131
152,0.199438131
153,0.199438131
154,0.199438131
155,0.199438131
156,0.199438131
157,0.199438131
158,0.199438131
159,0.199438131
160,0.199438131
161,0.199438131
162,0.199438131
163,0.199438131
164,0.199438131
165,0.199438131
166,0.199438131
167,0.199438131
168,0.199438131
169,0.199438131
170,0.199438131
171,0.199438131
172,0.199438131
173,0.199438131
174,0.199438131
175,0.199438131
176,0.199438131
177,0.199438131
178,0.199438131
179,0.199438131
180,0.199438131
181,0.199438131
182,0.199438131
183,0.199438131
184,0.199438131
185,0.199438131
186,0.199438131
187,0.199438131
188,0.199438131
189,0.199438131
190,0.199438131
191,0.199438131
192,0.199438131
193,0.199438131
194,0.199438131
195,0.199438131
196,0.199438131
197,0.199438131
198,0.199438131
199,0.199438131
200,0.199438131
201,0.199438131
202,0.199438131
203,0.199438131
204,0.199438131
205,0.199438131
206,0.199438131
207,0.199438131
208,0.199438131
209,0.199438131
210,0.199438131
211,0.199438131
212,0.199438131
213,0.199438131
214,0.199438131
215,0.199438131
216,0.199438131
217,0.199438131
218,0.199438131
219,0.199438131
220,0.199438131
221,0.199438131
222,0.199438131
223,0.199438131
224,0.199438131
225,0.199438131
226,0.199438131
227,0.199438131
228,0.199438131
229,0.199438131
230,0.199438131
231,0.199438131
232,0.199438131
233,0.199438131
234,0.199438131
235,0.199438131
236,0.199438131
237,0.199438131
238,0.199438131
239,0.199438131
240,0.199438131
241,0.199438131
242,0.199438131
243,0.199438131
244,0.199438131
245,0.199438131
246,0.199438131
247,0.199438131
248,0.199438131
249,0.199438131
250,0.199438131
251,0.199438131
252,0.199438131
253,0.199438131
254,0.199438131
255,0.199438131
256,0.199438131
257,0.199438131
258,0.199438131
259,0.199438131
260,0.199438131
261,0.199438131
262,0.199438131
263,0.199438131
264,0.199438131
265,0.199438131
266,0.199438131
267,0.199438131
268,0.199438131
269,0.199438131
270,0.199438131
271,0.199438131
272,0.199438131
273,0.199438131
274,0.199438131
275,0.199438131
276,0.199438131
277,0.199438131
278,0.199438131
279,0.199438131
280,0.199438131
281,0.199438131
282,0.199438131
283,0.199438131
284,0.199438131
285,0.199438131
286,0.199438131
287,0.199438131
288,0.199438131
289,0.199438131
290,0.199438131
291,0.199438131
292,0.199438131
293,0.199438131
294,0.199438131
295,0.199438131
296,0.199438131
297,0.199438131
298,0.199438131
299,0.199438131
300,0.199438131
301,0.199438131
302,0.199438131
303,0.199438131
304,0.199438131
305,0.199438131
306,0.199438131
307,0.199438131
308,0.199438131
309,0.199438131
310,0.199438131
311,0.199438131
312,0.199438131
313,0.199438131
314,0.199438131
315,0.199438131
316,0.199438131
317,0.199438131
318,0.199438131
319,0.199438131
320,0.199438131
321,0.199438131
322,0.199438131
323,0.199438131
324,0.199438131
325,0.199438131
326,0.199438131
327,0.199438131
328,0.199438131
329,0.199438131
330,0.199438131
331,0.199438131
332,0.199438131
333,0.199438131
334,0.199438131
335,0.199438131
336,0.199438131
337,0.199438131
338,0.199438131
339,0.199438131
340,0.199438131
341,0.199438131
342,0.199438131
343,0.199438131
344,0.199438131
345,0.199438131
346,0.199438131
347,0.199438131
348,0.199438131
349,0.199438131
350,0.199438131
351,0.199438131
352,0.199438131
353,0.199438131
354,0.199438131
355,0.199438131
356,0.199438131
357,0.199438131
358,0.199438131
359,0.199438131
360,0.199438131
361,0.199438131
362,0.199438131
363,0.199438131
364,0.199438131
365,0.199438131
366,0.199438131
367,0.199438131
368,0.199438131
369,0.199438131
370,0.199438131
371,0.199438131
372,0.199438131
373,0.199438131
374,0.199438131
375,0.199438131
376,0.199438131
377,0.199438131
378,0.199438131
379,0.199438131
380,0.199438131
381,0.199438131
382,0.199438131
383,0.199438131
384,0.199438131
385,0.199438131
386,0.199438131
387,0.199438131
388,0.199438131
389,0.199438131
390,0.199438131
391,0.199438131
392,0.199438131
393,0.199438131
394,0.199438131
395,0.199438131
396,0.199438131
397,0.199438131
398,0.199438131
399,0.199438131
400,0.199438131
401,0.199438131
402,0.199438131
403,0.199438131
404,0.199438131
405,0.199438131
406,0.199438131
407,0.199438131
408,0.199438131
409,0.199438131
410,0.199438131
411,0.199438131
412,0.199438131
413,0.199438131
414,0.199438131
415,0.199438131
416,0.199438131
417,0.199438131
418,0.199438131
419,0.199438131
420,0.199438131
421,0.199438131
422,0.199438131
423,0.199438131
424,0.199438131
425,0.199438131
426,0.199438131
427,0.199438131
428,0.199438131
429,0.199438131
430,0.199438131
431,0.199438131
432,0.199438131
433,0.199438131
434,0.199438131
435,0.199438131
436,0.199438131
437,0.199438131
438,0.199438131
439,0.199438131
440,0.199438131
441,0.199438131
442,0.199438131
443,0.199438131
444,0.199438131
445,0.199438131
446,0.199438131
447,0.199438131
448,0.199438131
449,0.199438131
450,0.199438131
451,0.199438131
452,0.199438131
453,0.199438131
454,0.199438131
455,0.199438131
456,0.199438131
457,0.199438131
458,0.199438131
459,0.199438131
460,0.199438131
461,0.199438131
462,0.199438131
463,0.199438131
464,0.199438131
465,0.199438131
