time,gamma_c,gamma_h
47,0.051146094,0.110351208
48,0.052587706,0.11246951
49,0.054084205,0.114620961
50,0.055636545,0.116803928
51,0.057245436,0.119016505
52,0.058911289,0.121256498
53,0.060634152,0.123521405
54,0.062413637,0.125808396
55,0.064248836,0.128114295
56,0.066138238,0.130435561
57,0.068079622,0.13276827
58,0.070069958,0.135108108
59,0.072105289,0.137450348
60,0.074180619,0.13978985
61,0.076289787,0.142121051
62,0.078425357,0.144437964
63,0.080578503,0.146734182
64,0.082738917,0.149002887
65,0.084894731,0.151236865
66,0.087032473,0.153428529
67,0.089137058,0.155569947
68,0.091191838,0.157652879
69,0.09314933,0.159668823
70,0.094971824,0.161609069
71,0.096658595,0.163464758
72,0.098212138,0.165226957
73,0.099638123,0.166886732
74,0.100945263,0.168435232
75,0.102145126,0.169863785
76,0.103251899,0.171110198
77,0.104282139,0.172129453
78,0.105254531,0.172941096
79,0.106189684,0.173567278
80,0.107109981,0.174032239
81,0.108039506,0.174361813
82,0.109004072,0.17458298
83,0.109919341,0.174723489
84,0.110719251,0.174811557
85,0.111461615,0.174875652
86,0.112207922,0.174944374
87,0.113023107,0.175046417
88,0.113976047,0.175210637
89,0.115140885,0.175466205
90,0.116650312,0.175832475
91,0.118526009,0.176296958
92,0.120675392,0.176841388
93,0.122993929,0.177447276
94,0.125360324,0.178095757
95,0.127633491,0.178767473
96,0.129652241,0.179442494
97,0.131733864,0.180244595
98,0.134242116,0.181271063
99,0.137062582,0.182460835
100,0.14006197,0.183750524
101,0.143081799,0.185073429
102,0.145934744,0.186358987
103,0.148405246,0.187532727
104,0.150778473,0.188661904
105,0.153437558,0.189853335
106,0.156286976,0.191088562
107,0.159216192,0.192348166
108,0.16209694,0.193611681
109,0.1647822,0.194857547
110,0.167107663,0.196063107
111,0.169022305,0.197419311
112,0.170632867,0.199058408
113,0.172008261,0.200864698
114,0.173225187,0.202714782
115,0.174366441,0.204476071
116,0.175519888,0.206006903
117,0.176778232,0.207158565
118,0.17793461,0.208079344
119,0.178775782,0.208996235
120,0.179394185,0.209874692
121,0.179887263,0.210679046
122,0.180355593,0.211372679
123,0.18090207,0.211918336
124,0.181632237,0.212278566
125,0.18239622,0.212434086
126,0.182995806,0.212414625
127,0.183468263,0.212257063
128,0.183852334,0.211998709
129,0.184187786,0.211676881
130,0.184515115,0.211328624
131,0.184875427,0.210990548
