date,new_cases,new_restore_region,new_deaths,new_tests
2020-03-17,NA,1,NA,NA
2020-03-18,0,1,0,0
2020-03-19,0,1,0,0
2020-03-20,1,1,0,0
2020-03-21,3,1,0,0
2020-03-22,3,1,0,0
2020-03-24,0,1,0,0
2020-03-25,2,1,0,0
2020-03-26,4,1,0,0
2020-03-27,2,1,0,0
2020-03-28,2,1,0,0
2020-03-29,9,1,0,0
2020-03-30,2,1,0,0
2020-03-31,6,1,0,0
2020-04-01,11,1,2,0
2020-04-02,10,1,1,0
2020-04-03,8,1,0,0
2020-04-04,22,1,0,0
2020-04-05,17,1,0,0
2020-04-06,13,1,1,0
2020-04-07,25,1,2,0
2020-04-08,18,1,1,0
2020-04-09,12,1,0,0
2020-04-10,19,1,0,0
2020-04-11,5,1,1,0
2020-04-12,24,1,0,0
2020-04-13,18,1,0,0
2020-04-14,5,1,1,0
2020-04-15,19,1,2,0
2020-04-16,15,1,0,0
2020-04-17,49,1,1,0
2020-04-18,60,1,0,0
2020-04-19,8,1,0,0
2020-04-20,35,1,1,0
2020-04-21,18,1,5,0
2020-04-22,53,1,0,0
2020-04-23,31,1,3,0
2020-04-24,53,1,2,0
2020-04-25,59,1,2,0
2020-04-26,26,1,0,0
2020-04-27,57,1,1,0
2020-04-28,52,1,2,0
2020-04-29,52,1,0,0
2020-04-30,89,1,1,0
2020-05-01,83,1,1,0
2020-05-02,74,1,2,0
2020-05-03,98,1,5,0
2020-05-04,82,1,1,9622
2020-05-05,33,1,1,382
2020-05-06,83,1,1,492
2020-05-07,95,1,2,534
2020-05-08,115,1,1,749
2020-05-09,79,1,3,752
2020-05-10,68,1,1,498
2020-05-11,36,1,1,520
2020-05-12,320,1,7,3144
2020-05-13,76,1,5,1034
2020-05-14,154,1,0,1012
2020-05-15,94,1,2,1105
2020-05-16,76,1,1,999
2020-05-17,94,1,2,799
2020-05-18,85,1,2,1003
2020-05-19,50,1,5,561
2020-05-20,74,1,1,938
2020-05-21,109,1,6,1307
2020-05-22,151,1,3,2720
2020-05-23,97,1,3,1366
2020-05-24,119,1,1,1429
2020-05-25,44,1,1,650
2020-05-26,59,1,0,701
2020-05-27,20,1,1,638
2020-05-28,156,1,4,1126
2020-05-29,94,1,3,938
2020-05-30,84,1,1,984
2020-05-31,78,1,1,774
2020-06-01,62,1,0,755
2020-06-02,46,1,2,759
2020-06-03,60,1,5,1198
2020-06-04,69,1,7,1031
2020-06-05,93,1,5,804
2020-06-06,59,1,5,983
2020-06-07,51,1,0,956
2020-06-08,38,1,1,575
2020-06-09,30,1,5,699
2020-06-10,35,1,4,796
2020-06-11,36,1,4,872
2020-06-12,29,1,4,945
2020-06-13,39,1,2,1095
2020-06-14,61,1,0,912
2020-06-15,16,1,0,536
2020-06-16,34,1,0,549
2020-06-17,31,1,3,1297
2020-06-18,31,1,2,769
2020-06-19,46,1,1,962
2020-06-20,36,1,1,680
2020-06-21,46,1,0,1410
2020-06-22,26,1,1,773
2020-06-23,28,1,2,651
2020-06-24,26,1,5,989
2020-06-25,44,1,1,1143
2020-06-26,36,1,1,1161
2020-06-27,50,1,1,1220
2020-06-28,28,1,1,954
2020-06-29,17,1,0,993
2020-06-30,41,1,1,1171
2020-07-01,44,1,2,1697
2020-07-02,17,1,2,1073
2020-07-03,33,1,0,1097
2020-07-04,33,1,0,1051
2020-07-05,17,1,0,1126
2020-07-06,34,1,1,970
2020-07-07,31,1,2,1335
2020-07-08,29,1,4,790
2020-07-09,35,1,0,1091
2020-07-10,48,1,3,1018
2020-07-11,31,1,1,1095
2020-07-12,47,1,1,1797
2020-07-13,42,1,0,1424
2020-07-14,26,1,2,1116
2020-07-15,35,1,0,1234
2020-07-16,66,1,4,1535
2020-07-17,67,1,1,1508
2020-07-18,30,1,0,1208
2020-07-19,46,1,0,1129
2020-07-20,42,1,0,1177
2020-07-21,33,1,3,670
2020-07-22,55,1,3,1316
2020-07-23,89,1,1,1389
2020-07-24,71,1,2,1711
2020-07-25,71,1,1,1053
2020-07-26,70,1,0,1322
2020-07-27,44,1,3,1055
2020-07-28,66,1,3,1019
2020-07-29,38,1,3,2082
2020-07-30,56,1,3,1369
2020-07-31,56,1,1,1721
2020-08-01,65,1,0,908
2020-08-02,36,1,2,1318
2020-08-03,42,1,1,756
2020-08-04,60,1,2,1315
2020-08-05,74,1,1,1580
2020-08-06,67,1,1,1474
2020-08-07,47,1,1,1369
2020-08-08,59,1,3,1258
2020-08-09,29,1,0,1393
2020-08-10,23,1,0,770
2020-08-11,51,1,0,1317
2020-08-12,39,1,1,1310
2020-08-13,22,1,3,1083
2020-08-14,69,1,1,1509
2020-08-15,39,1,0,1070
2020-08-16,36,1,0,942
2020-08-17,62,1,2,1539
2020-08-18,53,1,0,1262
2020-08-19,118,1,1,2372
2020-08-20,35,1,2,1164
2020-08-21,76,1,0,1259
2020-08-22,57,1,1,1234
2020-08-23,62,1,0,1676
2020-08-24,48,1,2,1010
2020-08-25,55,1,5,1360
2020-08-26,85,1,1,1563
2020-08-27,68,1,2,903
2020-08-28,60,1,2,894
2020-08-29,44,1,0,1320
2020-08-30,56,1,0,1050
2020-08-31,58,1,0,1000
2020-09-01,68,1,2,794
2020-09-02,110,1,0,765
2020-09-03,38,1,0,828
2020-09-04,242,1,0,7550
2020-09-05,102,1,0,1904
2020-09-06,69,1,0,1817
2020-09-07,77,1,0,1473
2020-09-08,59,1,0,892
2020-09-09,80,1,0,1252
2020-09-10,126,1,1,1177
2020-09-11,121,1,0,2019
2020-09-12,63,1,0,1229
2020-09-13,56,1,0,1539
2020-09-14,139,1,0,1910
2020-09-15,77,1,1,1565
2020-09-16,156,1,0,1907
2020-09-17,160,1,2,2104
2020-09-18,96,1,1,1803
2020-09-19,195,1,0,2935
2020-09-20,95,1,1,1670
2020-09-21,112,1,0,2032
2020-09-22,152,1,0,2159
2020-09-23,203,1,0,1649
2020-09-24,203,1,0,2376
2020-09-25,212,1,0,2946
2020-09-26,181,1,0,2838
2020-09-27,171,1,1,2376
2020-09-28,146,1,0,2022
2020-09-29,85,1,3,1817
2020-09-30,328,1,2,2551
2020-10-01,243,1,1,2838
2020-10-02,214,1,1,3516
2020-10-03,294,1,0,3466
2020-10-04,134,1,1,2561
2020-10-05,177,1,1,2112
2020-10-06,161,1,4,2314
2020-10-07,322,1,0,1840
2020-10-08,317,1,1,3852
2020-10-09,313,1,0,3872
2020-10-10,293,1,2,3279
2020-10-11,158,1,0,3364
2020-10-12,279,1,0,2137
2020-10-13,297,1,0,2441
2020-10-14,269,1,5,2669
2020-10-15,393,1,3,3450
2020-10-16,346,1,3,3519
2020-10-17,309,1,0,3508
2020-10-18,466,1,2,4882
2020-10-19,239,1,2,2604
2020-10-20,359,1,5,2645
2020-10-21,368,1,8,2479
2020-10-22,511,1,8,3932
2020-10-23,267,1,0,3446
2020-10-24,521,1,3,3999
2020-10-25,277,1,3,3823
2020-10-26,395,1,0,2670
2020-10-27,300,1,4,2482
2020-10-28,513,1,6,3108
2020-10-29,538,1,5,4231
2020-10-30,505,1,2,4276
2020-10-31,759,1,4,4784
2020-11-01,479,1,0,4206
2020-11-02,511,1,0,3051
2020-11-03,478,1,12,4268
2020-11-04,540,1,7,3055
2020-11-05,760,1,5,4349
2020-11-06,923,1,6,4167
2020-11-07,831,1,10,5469
2020-11-08,666,1,1,4179
2020-11-09,675,1,1,2916
2020-11-10,874,1,6,5068
2020-11-11,768,1,12,4168
2020-11-12,798,1,4,3510
2020-11-13,899,1,4,3690
2020-11-14,519,1,5,4245
2020-11-15,604,1,8,4097
2020-11-16,724,1,0,4297
2020-11-17,591,1,8,3718
2020-11-18,447,1,8,2835
2020-11-19,713,1,15,4699
2020-11-20,705,1,13,3816
2020-11-21,638,1,6,4946
2020-11-22,543,1,2,4311
2020-11-23,431,1,1,3138
2020-11-24,712,1,9,5002
2020-11-25,595,1,15,4018
2020-11-26,608,1,12,4104
2020-11-27,541,1,2,2854
2020-11-28,404,1,6,3810
2020-11-29,484,1,2,3460
2020-11-30,392,1,2,2611
2020-12-01,546,1,12,3700
2020-12-02,384,1,18,2752
2020-12-03,677,1,20,3585
2020-12-04,588,1,15,6074
2020-12-05,585,1,17,3812
2020-12-06,359,1,7,3098
2020-12-07,360,1,0,2696
2020-12-08,454,1,8,4131
2020-12-09,389,1,12,3588
2020-12-10,586,1,14,4881
2020-12-11,529,1,14,5890
2020-12-12,467,1,8,7975
2020-12-13,348,1,6,3133
2020-12-14,316,1,1,3434
2020-12-15,356,1,12,3817
2020-12-16,435,1,11,4996
2020-12-17,420,1,7,4346
2020-12-18,438,1,12,4623
2020-12-19,314,1,10,3954
2020-12-20,255,1,8,3336
2020-12-21,248,1,1,3704
2020-12-22,290,1,8,3024
2020-12-23,388,1,9,3354
2020-12-24,299,1,3,3710
2020-12-25,202,1,9,4674
2020-12-26,234,1,2,2605
2020-12-27,130,1,2,1968
2020-12-28,280,1,6,1677
2020-12-29,276,1,8,2931
2020-12-30,307,1,14,2818
2020-12-31,420,1,9,4428
2021-01-01,358,1,6,3691
2021-01-02,303,1,1,2558
2021-01-03,181,1,0,2317
2021-01-04,260,1,2,1665
2021-01-05,269,1,8,2768
2021-01-06,430,1,7,3984
2021-01-07,404,1,7,4141
2021-01-08,415,1,7,4701
2021-01-09,331,1,7,4706
2021-01-10,234,1,0,2926
2021-01-11,253,1,1,2800
2021-01-12,246,1,8,2850
2021-01-13,283,1,6,4713
2021-01-14,358,1,4,5183
2021-01-15,277,1,2,4254
2021-01-16,268,1,7,4723
2021-01-17,149,1,0,2871
2020-03-17,NA,2,NA,NA
2020-03-18,4,2,0,0
2020-03-19,1,2,0,0
2020-03-20,5,2,0,0
2020-03-21,2,2,0,0
2020-03-22,4,2,1,0
2020-03-24,5,2,0,0
2020-03-25,5,2,0,0
2020-03-26,7,2,0,0
2020-03-27,8,2,0,0
2020-03-28,6,2,0,0
2020-03-29,14,2,2,0
2020-03-30,10,2,1,0
2020-03-31,8,2,1,0
2020-04-01,20,2,0,0
2020-04-02,32,2,0,0
2020-04-03,16,2,0,0
