time,psi1_1,psi1_2,psi1_3,psi1_4,psi1_5,psi1_6,psi1_7,psi1_8,psi1_9,psi2_1,psi2_2,psi2_3,psi2_4,psi2_5,psi2_6,psi2_7,psi2_8,psi2_9,psi3_1,psi3_2,psi3_3,psi3_4,psi3_5,psi3_6,psi3_7,psi3_8,psi3_9,psi4_1,psi4_2,psi4_3,psi4_4,psi4_5,psi4_6,psi4_7,psi4_8,psi4_9
47,0.3463,0.3463,0.3149,0.3554,0.2916,0.4116,0.3017,0.2573,0.2047,0.6444,0.6444,0.6751,0.6126,0.6882,0.4911,0.3991,0.4822,0.4224,0.0083,0.0083,0.01,0.0298,0.008,0.0875,0.2552,0.2219,0.2178,0.001,0.001,0,0.0022,0.0122,0.0098,0.044,0.0386,0.1551
48,0.3463,0.3463,0.3149,0.3554,0.2916,0.4116,0.3017,0.2573,0.2047,0.6444,0.6444,0.6751,0.6126,0.6882,0.4911,0.3991,0.4822,0.4224,0.0083,0.0083,0.01,0.0298,0.008,0.0875,0.2552,0.2219,0.2178,0.001,0.001,0,0.0022,0.0122,0.0098,0.044,0.0386,0.1551
49,0.3463,0.3463,0.3149,0.3554,0.2916,0.4116,0.3017,0.2573,0.2047,0.6444,0.6444,0.6751,0.6126,0.6882,0.4911,0.3991,0.4822,0.4224,0.0083,0.0083,0.01,0.0298,0.008,0.0875,0.2552,0.2219,0.2178,0.001,0.001,0,0.0022,0.0122,0.0098,0.044,0.0386,0.1551
50,0.3463,0.3463,0.3149,0.3554,0.2916,0.4116,0.3017,0.2573,0.2047,0.6444,0.6444,0.6751,0.6126,0.6882,0.4911,0.3991,0.4822,0.4224,0.0083,0.0083,0.01,0.0298,0.008,0.0875,0.2552,0.2219,0.2178,0.001,0.001,0,0.0022,0.0122,0.0098,0.044,0.0386,0.1551
51,0.3463,0.3463,0.3149,0.3554,0.2916,0.4116,0.3017,0.2573,0.2047,0.6444,0.6444,0.6751,0.6126,0.6882,0.4911,0.3991,0.4822,0.4224,0.0083,0.0083,0.01,0.0298,0.008,0.0875,0.2552,0.2219,0.2178,0.001,0.001,0,0.0022,0.0122,0.0098,0.044,0.0386,0.1551
52,0.3463,0.3463,0.3149,0.3554,0.2916,0.4116,0.3017,0.2573,0.2047,0.6444,0.6444,0.6751,0.6126,0.6882,0.4911,0.3991,0.4822,0.4224,0.0083,0.0083,0.01,0.0298,0.008,0.0875,0.2552,0.2219,0.2178,0.001,0.001,0,0.0022,0.0122,0.0098,0.044,0.0386,0.1551
53,0.3463,0.3463,0.3149,0.3554,0.2916,0.4116,0.3017,0.2573,0.2047,0.6444,0.6444,0.6751,0.6126,0.6882,0.4911,0.3991,0.4822,0.4224,0.0083,0.0083,0.01,0.0298,0.008,0.0875,0.2552,0.2219,0.2178,0.001,0.001,0,0.0022,0.0122,0.0098,0.044,0.0386,0.1551
54,0.3463,0.3463,0.3149,0.3554,0.2916,0.4116,0.3017,0.2573,0.2047,0.6444,0.6444,0.6751,0.6126,0.6882,0.4911,0.3991,0.4822,0.4224,0.0083,0.0083,0.01,0.0298,0.008,0.0875,0.2552,0.2219,0.2178,0.001,0.001,0,0.0022,0.0122,0.0098,0.044,0.0386,0.1551
55,0.342,0.342,0.3091,0.3391,0.2764,0.3921,0.2928,0.2485,0.2057,0.6468,0.6468,0.6799,0.627,0.6999,0.5103,0.4173,0.4843,0.4103,0.0097,0.0097,0.011,0.031,0.0098,0.0864,0.2423,0.2219,0.2164,0.0015,0.0015,0,0.0029,0.0139,0.0112,0.0476,0.0453,0.1676
56,0.3384,0.3384,0.3037,0.3243,0.2629,0.3734,0.2849,0.241,0.2071,0.6485,0.6485,0.6844,0.64,0.7101,0.5287,0.4339,0.4854,0.3982,0.011,0.011,0.0119,0.0321,0.0115,0.0852,0.23,0.2216,0.2149,0.0021,0.0021,0,0.0036,0.0155,0.0127,0.0512,0.052,0.1798
57,0.3356,0.3356,0.2987,0.3109,0.2512,0.3557,0.2781,0.2349,0.2086,0.6495,0.6495,0.6883,0.6517,0.7187,0.5462,0.4488,0.4855,0.3862,0.0122,0.0122,0.0127,0.0331,0.0132,0.084,0.2184,0.221,0.2135,0.0027,0.0027,3.00E-04,0.0043,0.0169,0.0141,0.0547,0.0586,0.1917
58,0.3335,0.3335,0.2941,0.2988,0.2411,0.339,0.2723,0.23,0.2105,0.65,0.65,0.6915,0.6622,0.7257,0.5627,0.4622,0.4846,0.3743,0.0132,0.0132,0.0134,0.034,0.0148,0.0827,0.2074,0.2202,0.212,0.0033,0.0033,0.001,0.005,0.0184,0.0156,0.0581,0.0652,0.2032
59,0.3319,0.3319,0.2902,0.2882,0.2326,0.3236,0.2675,0.2262,0.2125,0.65,0.65,0.6941,0.6714,0.7313,0.578,0.474,0.4829,0.3625,0.0142,0.0142,0.0141,0.0347,0.0164,0.0814,0.1971,0.2192,0.2105,0.0039,0.0039,0.0016,0.0057,0.0197,0.017,0.0614,0.0717,0.2145
60,0.331,0.331,0.2871,0.2788,0.2256,0.3093,0.2636,0.2235,0.2147,0.6494,0.6494,0.696,0.6794,0.7355,0.5922,0.4845,0.4804,0.3509,0.0151,0.0151,0.0146,0.0354,0.0179,0.08,0.1873,0.2179,0.209,0.0045,0.0045,0.0023,0.0064,0.021,0.0185,0.0646,0.0782,0.2254
61,0.3306,0.3306,0.2847,0.2707,0.22,0.2963,0.2606,0.2219,0.2171,0.6484,0.6484,0.6973,0.6863,0.7384,0.6051,0.4935,0.477,0.3393,0.0159,0.0159,0.0151,0.0359,0.0194,0.0787,0.1781,0.2165,0.2075,0.0051,0.0051,0.0029,0.0071,0.0222,0.0199,0.0678,0.0846,0.2361
62,0.3307,0.3307,0.2833,0.2638,0.2158,0.2846,0.2585,0.2212,0.2197,0.647,0.647,0.6977,0.692,0.7401,0.6167,0.5012,0.473,0.3279,0.0166,0.0166,0.0155,0.0364,0.0208,0.0773,0.1695,0.2149,0.2059,0.0057,0.0057,0.0035,0.0078,0.0233,0.0214,0.0708,0.0909,0.2465
63,0.3313,0.3313,0.2831,0.2582,0.2129,0.2744,0.2571,0.2214,0.2225,0.6451,0.6451,0.6971,0.6966,0.7406,0.6268,0.5077,0.4682,0.3166,0.0172,0.0172,0.0158,0.0367,0.0222,0.076,0.1614,0.2132,0.2043,0.0064,0.0064,0.004,0.0085,0.0243,0.0228,0.0738,0.0972,0.2566
