date,new_deaths,cumulative_deaths,source,confirmed_covid_icu,suspected_covid_icu,agmean4_new_deaths,weekend
2020-03-19,3,3,COVID Tracking,NA,NA,1.828427125,0
2020-03-20,1,4,COVID Tracking,NA,NA,1.828427125,0
2020-03-21,1,5,COVID Tracking,NA,NA,2.55655882,1
2020-03-22,3,8,COVID Tracking,NA,NA,3.229485054,1
2020-03-23,3,11,COVID Tracking,NA,NA,4.029733719,0
2020-03-24,4,15,COVID Tracking,NA,NA,5.160140576,0
2020-03-25,3,18,COVID Tracking,NA,NA,6.968565207,0
2020-03-26,7,25,COVID Tracking,NA,NA,10.76395984,0
2020-03-27,8,33,COVID Tracking,NA,NA,11.11550898,0
2020-03-28,13,46,COVID Tracking,NA,NA,14.94490652,1
2020-03-29,18,64,COVID Tracking,NA,NA,20.10848589,1
2020-03-30,8,72,COVID Tracking,NA,NA,19.52962009,0
2020-03-31,26,98,COVID Tracking,NA,NA,31.13059184,0
2020-04-01,42,140,COVID Tracking,NA,NA,33.03670522,0
2020-04-02,16,156,COVID Tracking,NA,NA,30.61315889,0
2020-04-03,53,209,COVID Tracking,NA,NA,36.59459348,0
2020-04-04,33,242,COVID Tracking,NA,NA,39.67568571,1
2020-04-05,31,273,COVID Tracking,NA,NA,49.84341076,1
2020-04-06,33,306,COVID Tracking,NA,NA,60.15977555,0
2020-04-07,73,379,COVID Tracking,NA,NA,71.99757389,0
2020-04-08,82,461,COVID Tracking,NA,NA,73.89519564,0
2020-04-09,66,527,COVID Tracking,NA,NA,62.90687856,0
2020-04-10,68,595,COVID Tracking,NA,NA,64.73462969,0
2020-04-11,81,676,COVID Tracking,NA,NA,66.11927611,1
2020-04-12,43,719,COVID Tracking,NA,NA,65.91370164,1
2020-04-13,74,793,COVID Tracking,NA,NA,85.8719139,0
2020-04-14,74,867,COVID Tracking,NA,NA,82.16665057,0
2020-04-15,80,947,COVID Tracking,NA,NA,93.6839858,0
2020-04-16,124,1071,COVID Tracking,NA,NA,74.06591306,0
2020-04-17,62,1133,COVID Tracking,NA,NA,61.48173503,0
2020-04-18,125,1258,COVID Tracking,NA,NA,72.40290619,1
2020-04-19,31,1289,COVID Tracking,NA,NA,67.93299333,1
2020-04-20,59,1348,COVID Tracking,NA,NA,95.71527351,0
2020-04-21,119,1467,COVID Tracking,NA,NA,111.0245455,0
2020-04-22,97,1564,COVID Tracking,NA,NA,100.2256038,0
2020-04-23,123,1687,COVID Tracking,NA,NA,88.54094417,0
2020-04-24,107,1794,COVID Tracking,NA,NA,70.70654411,0
2020-04-25,79,1873,COVID Tracking,NA,NA,75.91957265,1
2020-04-26,59,1932,COVID Tracking,NA,NA,78.43734382,1
2020-04-27,50,1982,COVID Tracking,NA,NA,97.35392131,0
2020-04-28,142,2124,COVID Tracking,NA,NA,116.2488095,0
2020-04-29,90,2214,COVID Tracking,NA,NA,107.0149176,0
2020-04-30,140,2354,COVID Tracking,NA,NA,96.33324512,0
2020-05-01,102,2456,COVID Tracking,NA,NA,72.15761748,0
2020-05-02,102,2558,COVID Tracking,NA,NA,82.76132984,1
2020-05-03,59,2617,COVID Tracking,NA,NA,88.95274057,1
2020-05-04,44,2661,COVID Tracking,NA,NA,109.7761733,0
2020-05-05,176,2837,COVID Tracking,NA,NA,143.6975087,0
2020-05-06,136,2973,COVID Tracking,NA,NA,NA,0
2020-05-07,137,3110,COVID Tracking,NA,NA,NA,0
2020-05-08,130,3240,COVID Tracking,NA,NA,NA,0
