"date","geography_modeled","scenario_name","cases_median","cases_lower","cases_upper","cases_new_median","cases_new_lower","cases_new_upper","deaths_median","deaths_lower","deaths_upper","deaths_det_median","deaths_det_lower","deaths_det_upper","hosp_bed_median","hosp_bed_lower","hosp_bed_upper","recovered_median","recovered_lower","recovered_upper","rt_median","rt_lower","rt_upper"
2020-03-13,"illinois","baseline",41555,40315,42832,4899,4729,5089,4,1,8,0,0,3,207,180,237,11452,11141,11759,NA,NA,NA
2020-03-14,"illinois","baseline",48103,46678,49630,5661,5432,5889,5,1,9,0,0,3,251,222,285,14111,13718,14482,NA,NA,NA
2020-03-15,"illinois","baseline",55385,53658,57104,6549,6284,6804,6,2,11,0,0,4,301,267,336,17184,16717,17631,NA,NA,NA
2020-03-16,"illinois","baseline",62996,61072,65020,7545,7264,7814,7,2,13,0,0,4,358,323,395,20756,20195,21312,NA,NA,NA
2020-03-17,"illinois","baseline",70785,68578,73029,8561,8283,8895,9,4,15,1,0,5,423,382,463,24902,24227,25579,NA,NA,NA
2020-03-18,"illinois","baseline",78615,76195,81141,9578,9229,9932,10,5,17,1,0,6,495,453,540,29687,28874,30551,NA,NA,NA
2020-03-19,"illinois","baseline",86169,83402,88960,10503,10137,10886,12,6,20,1,0,7,581,530,627,35225,34226,36223,NA,NA,NA
2020-03-20,"illinois","baseline",93167,90298,96095,11333,10914,11747,14,8,22,2,0,9,677,622,732,41576,40376,42744,NA,NA,NA
2020-03-21,"illinois","baseline",99832,96731,103100,12037,11597,12451,17,9,26,2,0,11,785,729,843,48809,47413,50163,NA,NA,NA
2020-03-22,"illinois","baseline",106564,103210,110146,12621,12171,13099,20,12,31,4,1,14,906,844,970,56945,55353,58589,NA,NA,NA
2020-03-23,"illinois","baseline",113255,109791,117005,13215,12771,13686,23,14,34,7,2,18,1037,970,1107,65959,64047,67889,NA,NA,NA
2020-03-24,"illinois","baseline",119886,116121,123961,13907,13406,14412,27,17,37,9,3,22,1178,1104,1255,75843,73636,78069,NA,NA,NA
2020-03-25,"illinois","baseline",126383,122347,130766,14622,14115,15153,31,21,41,12,4,24,1326,1247,1406,86475,83912,89001,NA,NA,NA
2020-03-26,"illinois","baseline",132615,128395,137250,15390,14834,15958,35,24,48,15,6,30,1479,1398,1563,97888,94999,100787,NA,NA,NA
2020-03-27,"illinois","baseline",138635,134026,143396,16120,15516,16724,40,27,52,19,8,34,1631,1544,1729,109993,106692,113350,NA,NA,NA
2020-03-28,"illinois","baseline",144245,139543,149357,16780,16166,17420,44,32,58,23,12,40,1787,1695,1887,122824,119086,126527,NA,NA,NA
2020-03-29,"illinois","baseline",149449,144555,154777,17372,16735,18035,49,35,64,28,15,46,1945,1847,2054,136315,132200,140536,NA,NA,NA
2020-03-30,"illinois","baseline",154038,148756,159777,17878,17159,18551,55,41,70,33,20,51,2095,1991,2212,150514,145996,155276,NA,NA,NA
