"date","geography_modeled","scenario_name","cases_median","cases_lower","cases_upper","cases_new_median","cases_new_lower","cases_new_upper","deaths_median","deaths_lower","deaths_upper","deaths_det_median","deaths_det_lower","deaths_det_upper","hosp_bed_median","hosp_bed_lower","hosp_bed_upper","recovered_median","recovered_lower","recovered_upper","icu_median","icu_lower","icu_upper","rt_median","rt_lower","rt_upper"
2020-03-13,"covidregion_1","baseline",440,333,557,52,34,72,0,0,1,0,0,0,1,0,3,132,102,165,0,0,2,NA,NA,NA
2020-03-14,"covidregion_1","baseline",504,374,637,59,41,82,0,0,1,0,0,0,1,0,4,161,125,203,0,0,2,NA,NA,NA
2020-03-15,"covidregion_1","baseline",577,431,740,68,46,93,0,0,1,0,0,0,1,0,4,196,149,244,0,0,2,NA,NA,NA
2020-03-16,"covidregion_1","baseline",654,486,837,77,54,106,0,0,1,0,0,0,2,0,5,234,178,291,1,0,3,NA,NA,NA
2020-03-17,"covidregion_1","baseline",739,554,947,88,60,118,0,0,1,0,0,0,2,0,5,279,213,346,1,0,3,NA,NA,NA
2020-03-18,"covidregion_1","baseline",834,624,1069,99,70,133,0,0,1,0,0,0,2,0,6,331,252,407,1,0,3,NA,NA,NA
2020-03-19,"covidregion_1","baseline",935,702,1214,111,77,151,0,0,1,0,0,0,3,0,6,388,297,483,1,0,4,NA,NA,NA
2020-03-20,"covidregion_1","baseline",1043,773,1355,124,87,166,0,0,1,0,0,0,3,0,7,454,344,569,1,0,4,NA,NA,NA
2020-03-21,"covidregion_1","baseline",1155,861,1493,136,96,185,0,0,1,0,0,1,3,0,8,530,404,669,1,0,4,NA,NA,NA
2020-03-22,"covidregion_1","baseline",1275,947,1655,152,108,203,0,0,1,0,0,1,4,0,9,614,466,775,2,0,5,NA,NA,NA
2020-03-23,"covidregion_1","baseline",1393,1029,1813,165,118,220,0,0,2,0,0,1,5,0,10,712,540,895,2,0,5,NA,NA,NA
2020-03-24,"covidregion_1","baseline",1513,1117,1990,181,129,242,0,0,2,0,0,1,5,0,12,819,618,1031,2,0,6,NA,NA,NA
2020-03-25,"covidregion_1","baseline",1632,1207,2143,194,138,258,0,0,2,0,0,2,6,1,12,939,711,1189,3,0,7,NA,NA,NA
2020-03-26,"covidregion_1","baseline",1747,1295,2271,208,150,276,0,0,2,0,0,1,6,1,13,1071,805,1366,3,0,7,NA,NA,NA
2020-03-27,"covidregion_1","baseline",1851,1369,2426,220,157,291,0,0,2,0,0,2,7,2,15,1222,916,1562,3,0,8,NA,NA,NA
2020-03-28,"covidregion_1","baseline",1955,1439,2548,232,168,307,0,0,2,0,0,2,8,2,16,1381,1037,1766,4,1,8,NA,NA,NA
2020-03-29,"covidregion_1","baseline",2041,1502,2666,240,174,318,0,0,2,0,0,2,9,2,18,1552,1161,1989,4,1,9,NA,NA,NA
2020-03-30,"covidregion_1","baseline",2106,1564,2756,247,176,331,0,0,2,0,0,2,10,3,19,1740,1303,2238,5,1,10,NA,NA,NA
2020-03-31,"covidregion_1","baseline",2155,1596,2830,252,182,335,0,0,2,0,0,3,11,3,20,1943,1448,2497,5,1,11,NA,NA,NA
2020-04-01,"covidregion_1","baseline",2188,1619,2867,253,181,345,1,0,3,0,0,3,12,4,21,2152,1602,2763,6,2,12,1.07180054519739,0.990035393128603,1.17671913163508
2020-04-02,"covidregion_1","baseline",2197,1629,2882,254,181,336,1,0,3,0,0,3,13,5,23,2375,1768,3060,7,2,13,1.07386327084233,0.994298446935279,1.18494445807673
2020-04-03,"covidregion_1","baseline",2178,1600,2858,250,179,340,1,0,3,0,0,3,14,5,24,2611,1952,3356,8,3,14,1.07567456415536,0.992181916306634,1.19106668842841
2020-04-04,"covidregion_1","baseline",2138,1572,2799,243,177,326,1,0,3,0,0,4,15,5,25,2848,2122,3650,8,3,14,1.07625367148505,0.991121727830032,1.19224186225714
2020-04-05,"covidregion_1","baseline",2088,1535,2756,234,166,308,1,0,3,0,0,4,16,6,26,3085,2287,3977,8,3,16,1.07626772697424,0.990664432713424,1.19472345349352
2020-04-06,"covidregion_1","baseline",2041,1505,2693,222,157,301,1,0,4,0,0,4,16,7,28,3328,2466,4287,9,4,16,1.07361024534919,0.988766034576953,1.19317806850638
2020-04-07,"covidregion_1","baseline",2001,1472,2619,213,149,286,1,0,4,0,0,4,17,7,29,3580,2651,4619,10,4,18,1.07109819010347,0.987392287046852,1.19004038163034
2020-04-08,"covidregion_1","baseline",1976,1451,2593,207,146,276,1,0,4,0,0,4,18,8,31,3820,2845,4949,10,4,18,1.06652562086497,0.982667245883298,1.18722344201645
2020-04-09,"covidregion_1","baseline",1954,1447,2572,209,151,282,1,0,4,1,0,4,18,8,31,4050,3018,5273,11,5,19,1.06175472810049,0.978719319792271,1.182593681299
2020-04-10,"covidregion_1","baseline",1954,1429,2561,211,151,280,1,0,4,0,0,5,18,8,31,4282,3198,5593,11,5,20,1.05510625995756,0.973446247303233,1.1765093343763
2020-04-11,"covidregion_1","baseline",1970,1441,2592,215,154,286,1,0,4,1,0,4,18,7,32,4507,3347,5891,12,5,21,1.04859737234611,0.966744562958416,1.16529792386704
2020-04-12,"covidregion_1","baseline",1996,1469,2630,221,158,297,1,0,4,1,0,4,18,7,32,4729,3514,6161,12,5,22,1.04135004544674,0.960096654074022,1.15376010264829
2020-04-13,"covidregion_1","baseline",2042,1499,2709,227,164,306,1,0,5,1,0,4,18,6,31,4942,3682,6419,13,6,22,1.03288318492225,0.949748093195481,1.13932093930653
2020-04-14,"covidregion_1","baseline",2106,1539,2784,236,168,317,1,0,5,1,0,4,18,7,30,5159,3837,6689,13,6,22,1.02548092233798,0.939783382153492,1.12370764625289
2020-04-15,"covidregion_1","baseline",2185,1610,2899,246,174,327,1,0,4,1,0,5,18,7,30,5379,3998,6981,13,6,23,1.01776267938879,0.92772345804636,1.1135289908016
2020-04-16,"covidregion_1","baseline",2280,1684,3013,259,184,346,1,0,5,1,0,5,18,6,30,5599,4160,7255,14,6,23,1.01095937417553,0.917557776670149,1.10421828652632
2020-04-17,"covidregion_1","baseline",2396,1783,3179,273,195,364,1,0,5,1,0,5,18,7,30,5813,4334,7552,14,6,24,1.00448630510492,0.909404791750647,1.09487476094508
2020-04-18,"covidregion_1","baseline",2544,1873,3373,290,207,382,1,0,4,1,0,5,18,7,30,6041,4516,7838,14,7,24,0.998623337010085,0.900079061332125,1.08932113355359
2020-04-19,"covidregion_1","baseline",2710,1984,3571,309,222,412,2,0,5,1,0,5,18,6,30,6285,4688,8129,14,7,25,0.995286731710637,0.895231430563484,1.07999886046006
2020-04-20,"covidregion_1","baseline",2890,2107,3808,331,239,450,2,0,5,1,0,5,18,6,30,6524,4863,8455,15,7,25,0.992059165873933,0.892273119516221,1.07559598914004
2020-04-21,"covidregion_1","baseline",3079,2232,4058,358,261,476,2,0,5,1,0,5,18,6,30,6776,5055,8792,15,7,24,0.989618083652111,0.889596747814384,1.06961923162765
2020-04-22,"covidregion_1","baseline",3255,2359,4317,381,272,503,2,0,5,1,0,5,18,7,31,7046,5260,9159,15,7,25,0.988265879202787,0.886784843173711,1.06546674816556
2020-04-23,"covidregion_1","baseline",3449,2507,4568,404,291,537,2,0,5,1,0,5,19,7,32,7335,5472,9566,15,7,25,0.988364422241589,0.890172049865296,1.06570774874705
2020-04-24,"covidregion_1","baseline",3650,2645,4806,426,303,571,2,0,5,1,0,5,19,8,32,7646,5701,9962,16,8,26,0.989414975302362,0.891743671824009,1.06288055995323
2020-04-25,"covidregion_1","baseline",3845,2793,5039,449,324,595,2,0,5,1,0,5,20,8,33,7981,5939,10394,16,8,26,0.99090810818157,0.897838979746688,1.06893804092073
2020-04-26,"covidregion_1","baseline",4018,2927,5273,469,336,626,2,0,5,1,0,6,21,9,36,8322,6181,10841,16,8,27,0.993709644886004,0.90505241157634,1.07474997537781
2020-04-27,"covidregion_1","baseline",4206,3060,5526,486,350,646,2,0,5,1,0,6,23,9,38,8695,6445,11298,17,8,27,0.997022081216655,0.911669858513348,1.08255589762681
2020-04-28,"covidregion_1","baseline",4364,3187,5736,506,364,668,2,0,5,1,0,6,24,11,39,9091,6745,11805,17,9,28,1.00015520594786,0.918187898234539,1.09200324624835
2020-04-29,"covidregion_1","baseline",4518,3279,5921,523,374,688,2,0,5,1,0,6,26,11,41,9501,7065,12371,18,9,29,1.00389241670105,0.923697359907654,1.10146631337772
2020-04-30,"covidregion_1","baseline",4657,3369,6120,538,389,703,2,0,5,1,0,6,27,12,43,9930,7385,12953,19,10,30,1.00830198182562,0.926423026243016,1.10902487697159
2020-05-01,"covidregion_1","baseline",4785,3479,6261,548,396,729,2,0,6,1,0,7,28,13,45,10398,7709,13534,19,10,31,1.01210200192125,0.932700544880122,1.1144171644459
2020-05-02,"covidregion_1","baseline",4884,3538,6398,559,399,741,2,0,6,2,0,7,30,13,48,10865,8057,14154,20,11,32,1.01482369943155,0.933612808753956,1.117549295849
2020-05-03,"covidregion_1","baseline",4961,3614,6492,568,412,753,2,0,6,2,0,7,31,15,50,11367,8427,14743,21,12,33,1.01651377464662,0.931917004786459,1.12200528301998
2020-05-04,"covidregion_1","baseline",5023,3654,6580,574,416,755,2,0,6,2,0,7,32,16,52,11877,8781,15414,22,12,34,1.01802328822131,0.931929328577001,1.12446541778953
2020-05-05,"covidregion_1","baseline",5062,3687,6630,576,409,771,2,0,6,2,0,8,34,17,53,12389,9204,16121,23,13,35,1.01749510973137,0.933045669753706,1.12484569879313
2020-05-06,"covidregion_1","baseline",5090,3705,6672,577,422,753,2,0,7,2,0,8,36,19,55,12930,9596,16835,24,13,37,1.01625682125996,0.931507894174647,1.12776706127959
2020-05-07,"covidregion_1","baseline",5085,3701,6640,572,412,756,3,0,7,2,0,8,38,21,60,13493,10016,17543,25,14,38,1.01225457523647,0.929428370862331,1.12672014329377
2020-05-08,"covidregion_1","baseline",5048,3687,6592,568,410,751,3,0,7,2,0,8,39,21,61,14028,10410,18286,25,14,39,1.0060598939486,0.923561184755968,1.12014116633723
2020-05-09,"covidregion_1","baseline",4995,3654,6536,562,400,747,3,0,7,3,0,9,41,22,63,14592,10793,19037,26,15,40,0.999025067728406,0.916397896119961,1.11500821618313
2020-05-10,"covidregion_1","baseline",4914,3605,6413,548,405,718,3,0,7,2,0,9,41,23,63,15164,11214,19755,27,16,41,0.990444375989858,0.910754756003405,1.10214635617113
2020-05-11,"covidregion_1","baseline",4801,3509,6274,533,387,701,3,0,7,3,0,9,43,23,65,15730,11617,20496,28,16,43,0.981163640389041,0.904221958981467,1.09237958908486
2020-05-12,"covidregion_1","baseline",4659,3437,6104,513,373,685,3,0,7,2,0,8,43,24,66,16298,12050,21263,29,17,43,0.971185624012653,0.895621194648281,1.07854669856545
2020-05-13,"covidregion_1","baseline",4506,3293,5886,499,362,649,3,0,7,3,0,9,44,22,67,16853,12460,22002,29,17,44,0.961152448850359,0.88283855831951,1.0659285041872
2020-05-14,"covidregion_1","baseline",4340,3175,5690,476,342,635,3,0,8,3,0,9,44,24,68,17398,12841,22730,30,18,45,0.948916478216539,0.87191548516237,1.04877319393652
2020-05-15,"covidregion_1","baseline",4155,3056,5426,453,329,588,3,0,8,3,0,9,44,24,67,17963,13258,23431,30,18,45,0.936334539942856,0.855316107458491,1.03505184063526
2020-05-16,"covidregion_1","baseline",3954,2919,5141,427,316,559,3,1,8,3,0,8,45,24,67,18476,13688,24097,31,18,47,0.924462742998224,0.840550839783542,1.01688793115948
2020-05-17,"covidregion_1","baseline",3741,2767,4848,401,291,526,3,0,8,3,0,9,45,23,67,18977,14079,24730,31,18,47,0.913686385295099,0.82636289843094,1.00110989487929
2020-05-18,"covidregion_1","baseline",3522,2580,4564,373,271,498,4,1,8,3,0,9,44,24,68,19475,14450,25367,31,18,47,0.902756450024499,0.81521866467745,0.985996920964662
2020-05-19,"covidregion_1","baseline",3277,2395,4237,346,251,448,4,0,8,3,0,10,44,22,66,19944,14840,26012,31,19,46,0.89269058054981,0.800265170990573,0.972869377075912
2020-05-20,"covidregion_1","baseline",3042,2243,3921,315,229,412,3,0,8,3,0,10,43,23,66,20405,15179,26609,31,19,46,0.882827119671174,0.788458911678915,0.962520218549531
2020-05-21,"covidregion_1","baseline",2823,2061,3632,287,211,380,3,1,8,3,0,9,42,22,65,20825,15507,27139,31,18,46,0.874264240737841,0.776197203587502,0.952793826453516
2020-05-22,"covidregion_1","baseline",2625,1924,3366,267,190,349,3,0,8,3,0,10,41,22,63,21214,15822,27689,31,19,46,0.866891827206755,0.76705036650593,0.946791113745259
2020-05-23,"covidregion_1","baseline",2443,1793,3132,244,177,326,3,0,8,3,0,9,39,21,63,21605,16090,28173,31,19,45,0.860038858314113,0.759311512077685,0.939587869658825
2020-05-24,"covidregion_1","baseline",2279,1695,2924,229,166,301,3,0,8,3,0,9,38,19,62,21963,16335,28626,30,19,44,0.854885060564664,0.754194200156652,0.936126651328998
2020-05-25,"covidregion_1","baseline",2131,1573,2728,217,155,284,3,0,8,3,0,9,37,18,59,22278,16567,29035,29,17,43,0.851497887666979,0.751783715331885,0.934608709799823
2020-05-26,"covidregion_1","baseline",2000,1481,2561,206,145,269,3,0,7,3,0,9,35,16,56,22570,16797,29440,29,18,43,0.849930557419563,0.749233078002427,0.933855121485646
2020-05-27,"covidregion_1","baseline",1889,1390,2412,194,143,259,3,0,7,3,0,9,33,16,54,22840,16993,29801,28,17,41,0.849548931283318,0.751081857541405,0.933955519080025
2020-05-28,"covidregion_1","baseline",1789,1327,2291,187,132,242,3,0,8,2,0,9,31,14,51,23110,17198,30087,27,16,40,0.850196747387411,0.751375525393828,0.933700289271336
2020-05-29,"covidregion_1","baseline",1705,1259,2173,178,126,234,3,0,7,2,0,9,30,13,49,23341,17373,30383,26,16,39,0.8528657814304,0.752714175028613,0.932973965052057
2020-05-30,"covidregion_1","baseline",1626,1190,2075,172,123,224,3,0,7,2,0,8,28,12,46,23579,17548,30681,25,15,37,0.856305695249717,0.754731965112142,0.936070389576957
2020-05-31,"covidregion_1","baseline",1560,1159,1985,165,119,218,3,0,7,2,0,8,27,10,44,23817,17714,30960,25,14,37,0.86207280116959,0.759552245455869,0.939840331926244
