"date","geography_modeled","scenario_name","cases_median","cases_lower","cases_upper","cases_new_median","cases_new_lower","cases_new_upper","deaths_median","deaths_lower","deaths_upper","deaths_det_median","deaths_det_lower","deaths_det_upper","hosp_bed_median","hosp_bed_lower","hosp_bed_upper","recovered_median","recovered_lower","recovered_upper","icu_median","icu_lower","icu_upper","total_hosp_median","total_hosp_lower","total_hosp_upper","rt_median","rt_lower","rt_upper"
2020-03-13,"illinois","baseline",34583,33291,35824,4072,3883,4239,3,0,6,0,0,2,138,116,164,9044,8763,9327,30,20,41,168,143,194,NA,NA,NA
2020-03-14,"illinois","baseline",40344,38834,41831,4731,4531,4948,3,0,8,0,0,2,167,143,196,11190,10837,11537,37,26,49,205,178,235,NA,NA,NA
2020-03-15,"illinois","baseline",46836,45187,48593,5519,5273,5787,4,1,9,0,0,3,201,173,231,13704,13266,14129,45,34,59,247,216,280,NA,NA,NA
2020-03-16,"illinois","baseline",53828,51885,55877,6404,6143,6683,5,1,11,0,0,4,240,209,272,16634,16089,17188,55,42,69,295,264,330,NA,NA,NA
2020-03-17,"illinois","baseline",61314,59029,63596,7380,7066,7693,6,2,12,0,0,4,284,251,319,20055,19404,20729,66,51,82,351,316,391,NA,NA,NA
2020-03-18,"illinois","baseline",69140,66482,71773,8357,7989,8709,8,3,15,1,0,5,335,298,375,24038,23248,24849,79,63,98,414,376,457,NA,NA,NA
2020-03-19,"illinois","baseline",77217,74153,80192,9347,8945,9744,9,4,16,1,0,6,395,353,437,28695,27723,29677,95,76,115,489,446,537,NA,NA,NA
2020-03-20,"illinois","baseline",85267,81930,88543,10302,9871,10756,12,5,18,1,0,7,462,419,511,34068,32930,35253,112,91,135,574,528,629,NA,NA,NA
2020-03-21,"illinois","baseline",93367,89559,96971,11232,10736,11691,13,7,21,2,0,8,540,491,592,40268,38896,41674,132,108,156,670,617,731,NA,NA,NA
2020-03-22,"illinois","baseline",101683,97453,105578,12120,11597,12635,16,9,24,3,0,11,627,573,685,47339,45685,48981,155,128,181,782,722,847,NA,NA,NA
2020-03-23,"illinois","baseline",110018,105528,114251,13001,12454,13573,18,11,27,5,1,14,726,665,789,55274,53338,57266,181,151,210,907,837,975,NA,NA,NA
2020-03-24,"illinois","baseline",118313,113567,122947,13941,13318,14524,22,13,32,7,2,17,832,764,900,64136,61927,66464,209,178,241,1040,968,1116,NA,NA,NA
2020-03-25,"illinois","baseline",126440,121323,131348,14878,14247,15484,25,16,35,9,3,20,948,872,1022,73928,71292,76656,241,207,274,1188,1108,1273,NA,NA,NA
2020-03-26,"illinois","baseline",134262,128658,139498,15786,15119,16498,28,19,40,12,5,24,1072,990,1149,84605,81605,87682,275,240,309,1346,1261,1435,NA,NA,NA
2020-03-27,"illinois","baseline",141670,135718,147175,16664,15947,17374,32,22,44,15,7,28,1202,1114,1287,96238,92781,99700,312,276,348,1513,1415,1611,NA,NA,NA
2020-03-28,"illinois","baseline",148561,142400,154510,17433,16669,18194,37,26,51,19,9,35,1339,1245,1430,108739,104746,112753,351,312,390,1689,1586,1793,NA,NA,NA
2020-03-29,"illinois","baseline",154672,148262,160946,18099,17313,18848,42,30,55,23,13,39,1479,1375,1573,122119,117610,126743,392,352,433,1871,1757,1983,NA,NA,NA
2020-03-30,"illinois","baseline",159808,153200,166364,18652,17845,19454,47,34,61,27,15,44,1626,1513,1730,136441,131359,141573,436,394,479,2059,1934,2181,NA,NA,NA
2020-03-31,"illinois","baseline",164008,157244,170745,19087,18286,19901,52,38,66,32,18,48,1769,1654,1889,151619,145837,157344,480,433,526,2249,2125,2372,NA,NA,NA
2020-04-01,"illinois","baseline",166919,160097,173924,19346,18463,20182,58,43,73,36,22,53,1914,1798,2038,167562,161281,173959,528,477,575,2442,2308,2576,0.979936851603235,0.93637855215552,1.01733703075867
2020-04-02,"illinois","baseline",168627,161568,175456,19435,18576,20261,63,48,78,40,26,58,2063,1939,2197,184315,177273,191235,576,523,625,2640,2501,2786,0.980514601357824,0.939736013060055,1.01796801637246
2020-04-03,"illinois","baseline",168846,162014,175683,19368,18549,20210,69,53,86,44,28,65,2211,2072,2349,201711,193918,209295,623,570,676,2834,2681,2994,0.982321301757512,0.943470538499611,1.0213412876319
