"date","geography_modeled","scenario_name","cases_median","cases_lower","cases_upper","cases_new_median","cases_new_lower","cases_new_upper","deaths_median","deaths_lower","deaths_upper","deaths_det_median","deaths_det_lower","deaths_det_upper","hosp_bed_median","hosp_bed_lower","hosp_bed_upper","recovered_median","recovered_lower","recovered_upper","icu_median","icu_lower","icu_upper","total_hosp_median","total_hosp_lower","total_hosp_upper","rt_median","rt_lower","rt_upper"
2020-03-13,"illinois","baseline",42506,40808,43243,4994,4779,5149,3,0,6,0,0,2,163,132,193,10787,10479,11006,28,19,37,191,158,223,NA,NA,NA
2020-03-14,"illinois","baseline",49791,47835,50708,5825,5632,5992,4,1,9,0,0,1,194,167,231,13317,12973,13700,35,25,45,228,197,267,NA,NA,NA
2020-03-15,"illinois","baseline",58068,55791,59104,6826,6545,7047,5,1,9,0,0,3,233,199,268,16373,15903,16767,42,30,53,276,238,313,NA,NA,NA
2020-03-16,"illinois","baseline",66681,64015,67709,7973,7554,8114,5,2,9,0,0,3,284,237,323,19968,19400,20459,51,36,63,335,290,382,NA,NA,NA
2020-03-17,"illinois","baseline",75769,72529,76841,9148,8814,9370,6,3,11,0,0,2,337,284,393,24136,23403,24721,62,40,75,401,347,454,NA,NA,NA
2020-03-18,"illinois","baseline",84750,81210,86071,10354,9866,10590,8,4,13,1,0,4,403,354,454,29074,28119,29662,70,55,86,473,421,529,NA,NA,NA
2020-03-19,"illinois","baseline",93588,89968,95000,11423,11019,11720,11,6,16,1,0,7,479,432,539,34880,33837,35620,85,70,98,559,511,620,NA,NA,NA
2020-03-20,"illinois","baseline",101759,97869,103431,12426,11781,12818,9,3,13,1,0,5,576,513,623,41468,40180,42423,99,77,109,673,600,729,NA,NA,NA
2020-03-21,"illinois","baseline",109398,105479,111144,13275,12776,13564,17,11,24,2,0,8,679,619,741,49167,47536,50096,112,95,130,792,726,848,NA,NA,NA
2020-03-22,"illinois","baseline",117144,112846,119136,13972,13351,14276,16,10,22,2,0,6,798,725,883,57844,55953,58880,129,116,155,925,859,1004,NA,NA,NA
2020-03-23,"illinois","baseline",124713,120299,126743,14602,14096,14943,20,12,29,5,0,11,925,860,1000,67627,65223,68771,148,134,167,1078,997,1143,NA,NA,NA
2020-03-24,"illinois","baseline",132081,127247,134083,15314,14831,15634,18,11,27,5,0,12,1079,1011,1146,78499,75533,79638,174,149,194,1254,1160,1323,NA,NA,NA
2020-03-25,"illinois","baseline",138639,134182,141189,16106,15450,16437,32,24,40,11,4,20,1224,1154,1336,90156,86697,91381,206,192,223,1431,1351,1538,NA,NA,NA
2020-03-26,"illinois","baseline",145023,140239,147636,16876,16287,17224,28,21,39,9,3,20,1381,1273,1489,102603,98699,104143,246,225,263,1629,1528,1738,NA,NA,NA
2020-03-27,"illinois","baseline",151076,146143,153717,17526,16761,17880,39,29,49,17,7,29,1532,1422,1625,115941,111668,117792,295,278,310,1831,1717,1917,NA,NA,NA
2020-03-28,"illinois","baseline",156315,151119,159081,18094,17522,18552,34,22,44,13,5,23,1692,1592,1765,130055,125273,132209,345,323,362,2038,1939,2105,NA,NA,NA
2020-03-29,"illinois","baseline",161020,155880,163622,18588,18083,19019,61,48,71,40,24,61,1833,1745,1900,144844,139549,147136,396,378,417,2229,2146,2303,NA,NA,NA
2020-03-30,"illinois","baseline",164642,159560,167843,19031,18337,19514,58,43,67,30,19,42,1972,1840,2056,160607,154618,163050,462,427,478,2428,2328,2514,NA,NA,NA
2020-03-31,"illinois","baseline",167760,162883,170888,19308,18838,19810,59,50,72,34,22,50,2121,1997,2203,176700,170377,179655,521,493,543,2646,2540,2723,NA,NA,NA
2020-04-01,"illinois","baseline",169843,164794,172865,19502,18707,19911,71,59,85,47,30,64,2246,2113,2316,193739,186968,196768,589,570,608,2837,2708,2909,1.00035746855496,0.949784070971632,1.04961962218247
2020-04-02,"illinois","baseline",170926,165814,174042,19477,18955,19918,70,56,81,39,27,58,2363,2212,2459,211368,203898,214519,652,618,677,3026,2870,3114,0.999239854993689,0.94886318747722,1.04364115556286
2020-04-03,"illinois","baseline",170796,165931,174201,19415,18844,19967,81,69,96,53,36,71,2472,2334,2583,229399,221192,232780,709,685,729,3194,3049,3289,1.00001239949911,0.950720736874966,1.03875402889782
2020-04-04,"illinois","baseline",169645,164712,172986,19166,18580,19625,81,70,92,50,37,67,2590,2425,2677,247899,239075,251591,764,741,785,3361,3178,3445,1.00169482143498,0.955062041929008,1.03463378852956
2020-04-05,"illinois","baseline",167937,163098,171145,18803,18273,19248,90,76,99,57,31,81,2696,2520,2797,266602,257246,270678,806,790,828,3512,3331,3618,1.00377199153541,0.959180295813428,1.03286379905633
2020-04-06,"illinois","baseline",165887,161460,169663,18378,18000,18838,89,75,102,57,35,78,2813,2629,2911,285350,275333,289985,844,817,866,3657,3471,3748,1.00431914141753,0.962281275601564,1.03378837967844
2020-04-07,"illinois","baseline",163780,159935,167383,18041,17529,18431,110,95,120,72,52,87,2890,2754,2978,304248,293817,309273,874,849,892,3775,3604,3854,1.00346401259283,0.965780052280974,1.03717401710687
2020-04-08,"illinois","baseline",161701,158235,165760,17674,17262,18188,114,101,127,76,54,103,2963,2817,3033,323284,312158,328309,902,875,924,3863,3711,3952,1.00218989087286,0.967372838228957,1.04245336802395
2020-04-09,"illinois","baseline",159904,156309,163639,17510,16990,17913,105,90,117,66,47,82,3023,2910,3120,342137,330397,347516,929,892,950,3946,3821,4040,1.00091033302812,0.969381523200585,1.04653241575197
2020-04-10,"illinois","baseline",158220,154613,161480,17352,16829,17717,109,89,124,70,49,90,3078,2950,3175,360574,348485,366374,940,920,968,4016,3877,4124,0.99992753008656,0.971094801706922,1.04846958654986
2020-04-11,"illinois","baseline",156460,153144,160414,17256,16669,17671,109,96,123,69,51,87,3137,2963,3249,378922,366500,385131,953,924,984,4076,3915,4197,0.998700119415106,0.971696631087502,1.04981480993477
2020-04-12,"illinois","baseline",155219,151754,158767,17200,16697,17600,116,94,130,72,50,97,3159,3030,3289,396952,384026,403623,955,928,984,4116,3979,4239,0.99720503774457,0.971381905083707,1.04910640058713
2020-04-13,"illinois","baseline",154005,150892,157799,17076,16614,17501,126,110,143,81,60,104,3178,3039,3263,414917,401184,421781,966,938,991,4138,3994,4240,0.994967600599638,0.969285960993471,1.04837817168288
2020-04-14,"illinois","baseline",153100,150177,156653,16979,16553,17424,125,109,142,82,59,107,3186,3003,3287,432542,418418,439579,975,950,1002,4164,3966,4273,0.992255657432058,0.966275069703492,1.04622345308835
2020-04-15,"illinois","baseline",152382,149357,156033,16867,16514,17254,125,116,138,87,71,109,3165,3017,3285,450097,435568,457266,992,959,1017,4166,3990,4270,0.989291401041512,0.962090294936494,1.0415682166222
2020-04-16,"illinois","baseline",151563,148926,155274,16796,16429,17253,132,116,149,91,73,121,3147,2985,3262,467161,452297,474609,1002,972,1028,4147,3974,4262,0.986598208527091,0.957683019430057,1.03806961081802
2020-04-17,"illinois","baseline",151118,148138,154557,16781,16281,17160,139,121,152,101,75,117,3126,2915,3238,484251,468948,492186,1012,979,1039,4135,3930,4256,0.983706837340647,0.953351355022341,1.03346956489534
2020-04-18,"illinois","baseline",150346,147749,154091,16716,16191,17175,125,109,138,88,72,109,3121,2940,3247,501355,485459,509395,1023,989,1048,4141,3964,4278,0.979949067766666,0.94892498184566,1.02906580554241
2020-04-19,"illinois","baseline",149991,147286,153622,16613,16243,17052,129,113,145,94,70,112,3090,2954,3230,518142,502097,526623,1029,997,1048,4124,3987,4250,0.975561109607968,0.944730199048779,1.02616471331533
2020-04-20,"illinois","baseline",149594,146571,153349,16635,16229,16981,130,115,142,100,74,121,3078,2942,3214,534896,518480,543912,1033,997,1050,4108,3971,4236,0.970867992711946,0.940199270995788,1.02018902611923
2020-04-21,"illinois","baseline",149077,146042,152482,16551,16237,16995,130,112,145,98,72,125,3069,2937,3195,551745,534932,560972,1030,1001,1059,4100,3975,4225,0.965637613578911,0.935680742350629,1.01217244092717
2020-04-22,"illinois","baseline",148472,145472,151806,16537,16117,16877,135,114,153,101,73,120,3053,2886,3185,568367,551344,577717,1039,1000,1059,4094,3933,4234,0.960694658419356,0.930825474587032,1.0103030223464
2020-04-23,"illinois","baseline",147613,144677,150940,16487,16062,16990,140,131,162,101,83,131,3036,2869,3181,585205,567685,594668,1041,1012,1066,4076,3914,4226,0.955712093083466,0.925724701896343,1.00593816718768
2020-04-24,"illinois","baseline",146637,143652,150091,16361,15900,16662,143,121,157,108,89,130,3016,2873,3152,601693,583834,611405,1043,1017,1075,4055,3910,4203,0.950837905342231,0.91970249435176,1.00053425992199
2020-04-25,"illinois","baseline",145508,142887,149108,16214,15732,16609,128,113,141,94,65,117,2997,2882,3126,618172,600214,628424,1056,1034,1082,4052,3924,4182,0.946074208936005,0.915432159503169,0.99417591059871
2020-04-26,"illinois","baseline",144575,141555,147863,16015,15584,16501,129,113,139,94,77,110,2998,2847,3121,634491,616546,645098,1062,1040,1088,4064,3923,4193,0.941523652934903,0.911300505322867,0.989883668195313
2020-04-27,"illinois","baseline",143162,140236,146332,15917,15554,16388,127,115,139,96,76,120,2983,2877,3136,650793,632757,661730,1074,1038,1099,4061,3934,4208,0.937407820279634,0.907632702499295,0.986000460191433
2020-04-28,"illinois","baseline",141686,138936,144944,15731,15323,16162,142,125,156,109,78,130,2966,2813,3084,667188,648673,678339,1079,1044,1103,4047,3900,4162,0.932888408982092,0.904221991583238,0.981192715767434
2020-04-29,"illinois","baseline",140141,137413,143423,15503,15195,15884,139,123,152,110,85,137,2937,2815,3060,683254,664563,694844,1086,1059,1105,4037,3886,4154,0.929405214514006,0.902232601341906,0.97738796068492
2020-04-30,"illinois","baseline",138413,135669,141558,15313,14841,15694,137,112,154,110,85,139,2932,2810,3053,699217,680455,711055,1083,1065,1107,4018,3893,4124,0.92523605006177,0.899637251572866,0.972267908856076
2020-05-01,"illinois","baseline",136676,133854,139782,15111,14818,15565,133,115,145,108,82,133,2916,2785,3025,715179,696074,727108,1088,1054,1117,4008,3867,4115,0.920774828937135,0.897109871429896,0.967093501544408
2020-05-02,"illinois","baseline",134806,131957,137919,14887,14595,15186,146,131,165,119,99,143,2888,2769,2999,730825,711403,743083,1094,1051,1112,3986,3867,4086,0.917168480934903,0.893623313125535,0.961485080845822
2020-05-03,"illinois","baseline",132756,130031,135548,14647,14217,15028,143,127,160,120,95,146,2850,2737,2957,746377,726703,758859,1093,1073,1115,3943,3830,4042,0.913324675203512,0.887954502222013,0.957013018110031
2020-05-04,"illinois","baseline",130324,128114,133403,14393,14015,14724,141,126,158,118,91,151,2811,2695,2945,761936,741906,774492,1094,1063,1118,3914,3782,4041,0.9100584361486,0.882650516524418,0.95337336131192
2020-05-05,"illinois","baseline",128046,125743,130898,14063,13596,14486,137,117,148,115,85,139,2792,2703,2918,777009,756740,790001,1090,1066,1113,3890,3786,4009,0.905446547017092,0.878363340576394,0.948913744121843
2020-05-06,"illinois","baseline",125593,123592,128621,13830,13494,14233,133,111,146,113,86,142,2770,2695,2878,792163,771559,805074,1085,1057,1114,3856,3767,3962,0.900708311229412,0.874184650900885,0.944606648345175
2020-05-07,"illinois","baseline",123038,121035,126109,13524,13173,13914,140,118,153,119,86,150,2728,2648,2792,806881,786137,819892,1081,1059,1111,3807,3718,3875,0.895639838452128,0.866726763311928,0.940343634055027
2020-05-08,"illinois","baseline",120381,118474,123494,13234,12839,13653,138,116,155,119,98,143,2668,2573,2726,821408,800597,834660,1073,1036,1102,3741,3676,3794,0.890768824433416,0.858493060665585,0.935009913392335
2020-05-09,"illinois","baseline",117671,115576,120890,12932,12585,13315,128,114,137,113,93,137,2614,2513,2664,835803,814707,849278,1066,1034,1090,3678,3588,3736,0.886149004829452,0.84943048867579,0.929767898229108
2020-05-10,"illinois","baseline",115034,112790,118029,12566,12306,12929,120,106,135,108,91,136,2570,2482,2609,849869,828608,863851,1059,1030,1081,3630,3552,3665,0.881827273576452,0.84224474981031,0.924696791543446
2020-05-11,"illinois","baseline",112064,109919,115100,12279,11853,12539,123,113,145,111,82,138,2532,2467,2584,863818,841945,877927,1048,1020,1070,3580,3527,3631,0.877965730926295,0.835272925042606,0.915849006899383
2020-05-12,"illinois","baseline",109178,106951,111878,11946,11635,12178,127,106,140,108,94,138,2496,2427,2539,877235,855426,891626,1035,1009,1052,3528,3475,3565,0.873786758266624,0.828168201497246,0.907498765997084
2020-05-13,"illinois","baseline",106088,103896,108861,11568,11245,11913,119,104,129,103,79,120,2449,2408,2513,890487,868366,905071,1016,997,1036,3471,3423,3518,0.870183021374539,0.8233770500917,0.898853991488061
2020-05-14,"illinois","baseline",102993,100667,105287,11231,10960,11521,129,111,142,114,82,144,2395,2352,2459,903448,881090,918082,999,974,1018,3396,3351,3445,0.865280555405578,0.817792844708547,0.889390867062255
2020-05-15,"illinois","baseline",99748,97843,102002,10880,10621,11139,133,119,144,114,91,135,2337,2265,2385,916218,893736,931035,982,954,998,3320,3256,3374,0.859966231393574,0.812098712694537,0.884538887603252
2020-05-16,"illinois","baseline",96625,94571,98583,10476,10187,10731,104,92,121,87,76,113,2290,2214,2348,928476,905834,943575,968,950,992,3261,3190,3313,0.854141134864805,0.808226940230281,0.882027917146595
