param_name,value
tmin,1
tmax,500
beta1_1,2.007155322
beta1_2,1.475445273
beta1_3,1.692804513
beta1_4,2.401797449
beta1_5,2.401797449
beta1_6,1.692804513
beta1_7,1.383886719
beta1_8,1.383886719
beta1_9,1.383886719
beta1_10,1.383886719
beta1_11,1.707324219
num_init_1,8.54E-06
num_init_2,9.19E-06
num_init_3,6.94E-06
num_init_4,1.00E-05
num_init_5,1.00E-05
num_init_6,6.94E-06
num_init_7,2.02E-04
num_init_8,2.02E-04
num_init_9,2.02E-04
num_init_10,2.02E-04
num_init_11,2.38E-04
beta2_1,0.194340112
beta2_2,0.172166252
beta2_3,0.169244218
beta2_4,0.196503179
beta2_5,0.196503179
beta2_6,0.169244218
beta2_7,0.214233398
beta2_8,0.214233398
beta2_9,0.214233398
beta2_10,0.214233398
beta2_11,0.231030273
scale_phase3_1,0.079455342
scale_phase3_2,0.067205602
scale_phase3_3,0.10365392
scale_phase3_4,0.048887184
scale_phase3_5,0.048887184
scale_phase3_6,0.10365392
scale_phase3_7,0.011623535
scale_phase3_8,0.011623535
scale_phase3_9,0.011623535
scale_phase3_10,0.011623535
scale_phase3_11,0.049475098
scale_phase4_1,0.078081562
scale_phase4_2,0.176243145
scale_phase4_3,0.189346739
scale_phase4_4,0.10794035
scale_phase4_5,0.10794035
scale_phase4_6,0.189346739
scale_phase4_7,0.068215332
scale_phase4_8,0.068215332
scale_phase4_9,0.068215332
scale_phase4_10,0.068215332
scale_phase4_11,0.08677002
scale_phase5_1,0.197506683
scale_phase5_2,0.176243145
scale_phase5_3,0.232871605
scale_phase5_4,0.168394171
scale_phase5_5,0.168394171
scale_phase5_6,0.232871605
scale_phase5_7,0.068215332
scale_phase5_8,0.068215332
scale_phase5_9,0.068215332
scale_phase5_10,0.068215332
scale_phase5_11,0.08677002
inv_sigma,3.5
inv_eta,5
inv_zeta_s,1.5
inv_mu_m,14
inv_gamma_m,3.5
alpha_E,3
alpha_A,3
alpha_P,3
alpha_IM,3
alpha_IS,3
alpha_IH1,1
alpha_IH2,1
alpha_IH3,1
alpha_IC2,1
alpha_IC3,1
alpha_IH4,1
rho_1,0.364285714
rho_2,0.455357143
rho_3,0.3825
rho_4,0.352142857
rho_5,0.2975
rho_6,0.248928571
rho_7,0.17
rho_8,0.145714286
rho_9,0.145714286
IHR_logit_1,0.000625721
IHR_logit_2,0.002420024
IHR_logit_3,0.0612622
IHR_logit_4,0.09302
IHR_logit_5,0.117765
IHR_logit_6,0.14524
IHR_logit_7,0.1340125
IHR_logit_8,0.1803
IHR_logit_9,0.181
IHR_max_1,0.1
IHR_min_1,1.00E-05
IHR_max_2,0.1
IHR_min_2,1.00E-05
IHR_max_3,0.1
IHR_min_3,0.001
IHR_max_4,0.2
IHR_min_4,0.01
IHR_max_5,0.2
IHR_min_5,0.01
IHR_max_6,0.3
IHR_min_6,0.02
IHR_max_7,0.4
IHR_min_7,0.05
IHR_max_8,0.45
IHR_min_8,0.05
IHR_max_9,0.5
IHR_min_9,0.05
zeta_h_logit,0.162
zeta_h_max,1
zeta_h_min,0.1
n_regions,11
q_1,0.33
q_2,0.37
q_3,0.69
q_4,0.81
q_5,0.74
q_6,0.8
q_7,0.89
q_8,0.77
q_9,0.77
region_non_hosp_1,0.51
region_non_hosp_2,0.51
region_non_hosp_3,0.51
region_non_hosp_4,0.51
region_non_hosp_5,0.51
region_to_test,-1
age_beta_scales_1,0
age_beta_scales_2,0
age_beta_scales_3,0
age_beta_scales_4,0
age_beta_scales_5,0
age_beta_scales_6,0
age_beta_scales_7,0.0117
age_beta_scales_8,0.03159
age_beta_scales_9,0.11115
inv_mu_h,6.58
inv_gamma_c,6.84
inv_zeta_c_1,1.09
inv_zeta_c_2,1.09
inv_zeta_c_3,1.09
inv_zeta_c_4,1.09
inv_zeta_c_5,1.09
inv_zeta_c_6,1.09
inv_zeta_c_7,1.56
inv_zeta_c_8,1.56
inv_zeta_c_9,1.56
inv_gamma_h_1,4.93
inv_gamma_h_2,4.93
inv_gamma_h_3,4.93
inv_gamma_h_4,4.93
inv_gamma_h_5,4.93
inv_gamma_h_6,4.93
inv_gamma_h_7,7.04
inv_gamma_h_8,7.04
inv_gamma_h_9,7.04
inv_mu_c_1,10.39
inv_mu_c_2,10.39
inv_mu_c_3,10.39
inv_mu_c_4,10.39
inv_mu_c_5,10.39
inv_mu_c_6,10.39
inv_mu_c_7,9.17
inv_mu_c_8,9.17
inv_mu_c_9,9.17
t_phase3_1,85
t_phase3_2,85
t_phase3_3,92
t_phase3_4,85
t_phase3_5,92
t_phase3_6,92
t_phase3_7,92
t_phase3_8,92
t_phase3_9,92
t_phase3_10,92
t_phase3_11,92
t_phase3_max_1,150
t_phase3_max_2,150
t_phase3_max_3,150
t_phase3_max_4,150
t_phase3_max_5,150
t_phase3_max_6,150
t_phase3_max_7,150
t_phase3_max_8,150
t_phase3_max_9,150
t_phase3_max_10,150
t_phase3_max_11,150
t_phase4_1,151
t_phase4_2,151
t_phase4_3,151
t_phase4_4,151
t_phase4_5,151
t_phase4_6,151
t_phase4_7,151
t_phase4_8,151
t_phase4_9,151
t_phase4_10,151
t_phase4_11,151
t_phase4_max_1,174
t_phase4_max_2,174
t_phase4_max_3,174
t_phase4_max_4,174
